geoname_id	name	ascii_name	population	latitude	longitude	feature_code
13308634	Guangming	Guangming	9612	22.5617100	113.9046300	PPLX
7372929	Dabao	Dabao	9601	33.4706000	105.5765400	PPLA4
1816810	Bazhai	Bazhai	9599	26.2102800	108.9452800	PPL
1813649	Daqiao	Daqiao	9593	33.7463100	105.2786600	PPLA4
7373363	Chenyuan	Chenyuan	9571	33.7642700	105.6760100	PPLA4
1795058	Shiqian	Shiqian	9571	27.5225000	108.2280600	PPL
7407799	Liulin	Liulin	9540	33.8743700	106.1696000	PPLA4
7373371	Haolin	Haolin	9531	33.7679100	105.2134500	PPLA4
7372877	Dananyu	Dananyu	9520	33.4311200	105.7584300	PPLA4
7372743	Nianba	Nianba	9431	33.3063700	105.4693600	PPLA4
7343131	Mu’er	Mu'er	9430	34.5661200	103.5854500	PPLA4
1907982	Luoba	Luoba	9374	34.3227800	105.0647200	PPL
13308737	Nanyuan Residential	Nanyuan Residential	9372	22.5405200	114.0952600	PPL
7372894	Ganquan	Ganquan	9372	33.4417800	105.1597800	PPLA4
1794920	Shijiang	Shijiang	9330	27.0819400	110.7933300	PPL
13308733	Nanyou, Shenzhen	Nanyou, Shenzhen	9327	22.5003600	113.9231400	PPLA5
13308746	Shahe Residential	Shahe Residential	9302	22.5354400	113.9800400	PPL
13308671	Gaoxin	Gaoxin	9216	22.5476100	113.9405800	PPLA5
12358472	Leidong	Leidong	9188	25.9139600	109.3404200	PPLA4
7373617	Huangzhu	Huangzhu	9186	33.9675500	105.6826600	PPLA4
13308656	Gold tai	Gold tai	9172	22.5783900	113.8961500	PPLX
13308679	Jiajinlong	Jiajinlong	9126	22.5473100	113.9061800	PPLA4
7373178	Suochi	Suochi	9113	33.6458600	105.5136300	PPLA4
13308608	Aojingchong	Aojingchong	9067	22.6834700	113.7873300	PPL
7343287	Lexiu	Lexiu	9057	34.7413600	103.0901800	PPLA4
13308673	Anle Garden	Anle Garden	9000	22.5818200	113.8990500	PPL
13308631	Gao Fa Cheng Chi Yuan	Gao Fa Cheng Chi Yuan	8953	22.5231900	114.0576100	PPLX
7372766	Huangping	Huangping	8930	33.3215500	105.3322000	PPLA4
13308716	Caowei	Caowei	8915	22.6226300	113.8402000	PPL
7446328	Liushun	Liushun	8876	34.6492000	103.5413900	PPLA4
13308667	Yuehai	Yuehai	8743	22.5481000	113.9470500	PPLA5
1537890	Sishilichengzi	Sishilichengzi	8722	41.9619400	86.4766700	PPL
1818012	Anmenkou	Anmenkou	8677	33.2778300	105.6269000	PPLA4
1907971	Gupo	Gupo	8661	34.6250000	105.2786100	PPLA4
